question_id,subject,topic,concept,text,option_a,option_b,option_c,option_d,correct_option,difficulty_label,correct_count,wrong_count,avg_time
48,Cấu trúc dữ liệu & Giải thuật,Phân tích độ phức tạp,Phân tích amortized,Độ phức tạp thời gian truy cập phần tử đầu trong Stack là bao nhiêu?,O(n²),O(log n),O(n),O(1),option_d,medium,65,35,30
49,Cấu trúc dữ liệu & Giải thuật,Phân tích độ phức tạp,Độ phức tạp không gian,Độ phức tạp không gian của thuật toán sắp xếp trộn (Merge sort) là gì?,O(n²),O(n),O(1),O(log n),option_b,medium,65,35,30
50,Cấu trúc dữ liệu & Giải thuật,Phân tích độ phức tạp,Độ phức tạp thời gian,Thuật toán nào có độ phức tạp thời gian O(n log n) trong mọi trường hợp?,Sắp xếp trộn (Merge sort),Sắp xếp nhanh (Quick sort),Sắp xếp chèn,Sắp xếp nổi bọt,option_a,medium,65,35,30
51,Cấu trúc dữ liệu & Giải thuật,Phân tích độ phức tạp,Phân tích amortized,Độ phức tạp thời gian tìm kiếm phần tử trong bảng băm (trường hợp trung bình) là gì?,O(1),O(n²),O(n),O(log n),option_a,medium,65,35,30
52,Cấu trúc dữ liệu & Giải thuật,Phân tích độ phức tạp,Độ phức tạp thời gian,Duyệt toàn bộ cây nhị phân có n nút mất bao lâu?,O(log n),O(n),O(n²),O(1),option_b,medium,65,35,30
53,Cấu trúc dữ liệu & Giải thuật,Phân tích độ phức tạp,Độ phức tạp thời gian,Độ phức tạp thời gian thêm phần tử vào cuối Stack là bao nhiêu?,O(log n),O(n log n),O(n),O(1),option_d,medium,65,35,30
54,Cấu trúc dữ liệu & Giải thuật,Giải thuật,Đường đi ngắn nhất trên đồ thị,Thuật toán Bellman-Ford có thể xử lý đồ thị có trọng số âm không?,Chỉ với đồ thị vô hướng,"Có, nếu không có chu trình âm",Không bao giờ,Chỉ với đồ thị có hướng,option_b,hard,35,65,45
55,Cấu trúc dữ liệu & Giải thuật,Giải thuật,Sắp xếp nhanh (Quick sort),Khi nào thuật toán Quick sort cho độ phức tạp xấu nhất O(n²)?,Khi phần tử pivot luôn là phần tử lớn nhất hoặc nhỏ nhất,Khi mảng có tất cả phần tử bằng nhau,Khi mảng đã sắp xếp giảm dần,Khi dùng pivot ngẫu nhiên,option_a,hard,35,65,45
56,Cấu trúc dữ liệu & Giải thuật,Giải thuật,Cây AVL,Cây AVL là gì?,Đồ thị vô hướng,Cây n-phân,Cây nhị phân đầy đủ,"Cây tìm kiếm nhị phân tự cân bằng với hệ số cân bằng tại mỗi nút trong [-1,0,1]",option_d,hard,35,65,45
57,Cấu trúc dữ liệu & Giải thuật,Giải thuật,Quy hoạch động,Bài toán nào sau đây thường được giải bằng quy hoạch động?,Tìm dãy con chung dài nhất (LCS),Sắp xếp nhanh,Tìm kiếm nhị phân,Duyệt đồ thị theo chiều rộng,option_a,hard,35,65,45
58,Cấu trúc dữ liệu & Giải thuật,Giải thuật,Duyệt cây,Thuật toán DFS (Depth-First Search) trên đồ thị thường sử dụng cấu trúc dữ liệu nào?,Stack,Queue,Heap,Mảng,option_a,hard,35,65,45
59,Cấu trúc dữ liệu & Giải thuật,Giải thuật,Đường đi ngắn nhất trên đồ thị,Thuật toán Floyd-Warshall dùng để giải bài toán gì?,Duyệt đồ thị,Sắp xếp đỉnh theo tôpô,Tìm đường đi ngắn nhất giữa tất cả các cặp đỉnh,Tìm cây khung nhỏ nhất,option_c,hard,35,65,45
60,Cấu trúc dữ liệu & Giải thuật,Giải thuật,Cây tìm kiếm nhị phân,Thao tác nào trên cây tìm kiếm nhị phân (BST) mất O(h) với h là chiều cao cây?,Chỉ tìm kiếm,"Tìm kiếm, chèn và xóa",Chỉ xóa,Chỉ chèn,option_b,hard,35,65,45
